ID;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U;V;W;X;Y;Z
61;Affordability = acessibilidade;Brightens = ilumina ;Conveyed = transmitido(a);Dull = maçante;;Feed source = fonte de alimentação;;Hideous = horrível / muito feio;;;;Lounging = descansando;;;;Pinkie = dedo mindinho;;Rattled = abalado(a);Sank = afundou;Threw = jogou;;;Worthwhile = que vale a pena;;;
62;Amusement = diversão;Bloopers = erros de gravação;Concealed = escondido(a);Deadly = mortal;;Footpath = trilha;;Hilarious = hilário / divertido ;;;;Lieutenant = tenente;;;;Payment voucher = comprovante de pagamento;;Rucksack = mochila;Shipwrecks = naufrágios;Takeover = assumir;;;Within = dentro de;;;
63;Assessment = avaliação;Believers = crentes;Chopsticks = pauzinhos;Duo = dupla ;;Forefathers = antepassados;; High-income = alta renda;;;;Lashed = açoitado(a);;;;Peacekeeping = manutenção da paz;;Raggedly = irregularmente;So on = assim por diante;Training facility = instalação de treinamento;;;Wounded = ferido(a);;;
64;Asylum = asilo / hospício / refúgio;Bodyguards = guarda-costas;Crummy = miserável / sujo / rico;Desolate = desolado;;Furious = furioso(a);;Hangs up = trava / desliga;;;;Lorries = caminhões;;;;Peanuts = amendoim;;Relish = saborear / apreciar;Suitable = adequada(o);Twisting = torcendo / torção;;;Wheelchairs = cadeiras de rodas;;;
65;Around the clock = o tempo todo;Beliefs = crenças;Clobber = espancar;Deafening = ensurdecedor;;Flushers = lavadores;;Handicraft = artesanato;;;;Least = ao menos / mínimo / menos importante;;;;Pageant = concurso;;Rebounded = recuperou / repercurtir / ressaltar / ricochetear / ressoar;Sap = seiva;Tighten = aperte;;;Widely = largamente;;;
66;Appraisal = avaliação;Beetles = besouros;Condiment / flavoring / seasoning = condimento;Destitute = destituído / necessitado / desprovido / indigente;;Falsehoods = falsidades;;Hang = pendurar / enforcar ;;;;Luggage = bagagem;;;;Perished = pereceu / morrer / deixar de existir;;Roundabout = desvio;Sloth = bicho-preguiça;Tuning = afinação;;; Windshield = parabrisa;;;
67;Auction = leilão;Bliss = felicidade;Courtroom = tribunal;Distraught = atormentado;;;;Hung = pendurado(a);;;;Latch = trava;;;;Perch = poleiro;;Realm = reino / domínio / esfera;Sheriff’s deputy = vice do xerife;Thrilled = emocionado;;;Windows-sill = peitoril da janela;;;
68;Airborne = transportado por vias áreas / no ar / transportado pelo ar;Blossom = florescer;Crop grower = agricultor;Docked = ancorado(a);;;;Hogs = porcos(as);;;;Leaderboard = entre os melhores;;;;Perched = empoleirado(a);;Request = pedido;Sudden = de repente;Terrific = fantástico;;;Wicked = malvado(a) / cruel / imoral / perverso;;;
69;Aiming = visando;Bankrupt = falido(a) / quebrado(a) / arruinado(a);Crossroads = encruzilhada / cruzamento;Depleted = esgotado(a);;;;Hockey stick = taco de hóquei;;;;;;;;Preschoolers = pré-escolares;;Rejoice = alegrar;Spotlight = holofote;Tedious = tedioso;;;Wispy whiskers = bigodes finos;;;
70;Ape = macaco;Bankruptcy = falência;Centuries old = séculos de idade;Dreary = aborrecido(a);;;;Headache = dor de cabeça / enxaqueca;;;;;;;;Painstakingly = meticulosamente;;Ran a business = administrou um negócio;Stray bullet = bala perdida;Towering = elevando-se / altaneiro / muito elevado;;;Went bankrupt = foi à falência;;;
71;;Breakthrough = avanço;Crane = guindaste;Drawer = gaveta / sacador;;;;Heatstroke = insolação;;;;;;;;Pranksters = brincalhões;;Regardless = sem considerar / indiferente / descuidado / desatento;Slay = arrasar;Tiny = muito pequeno;;;Wrap = enrolar / envolver / cobrir;;;
72;;Briefly = brevemente;Coal = carvão;Delayed = atrasado(a);;;;Hardened = endurecido(a);;;;;;;;Profit = lucro / proveito / benefício;;Runoff = escoamento;Stuttering = engasgando;Telltale = revelador;;;Wealthy = rico / endinheirado / próspero(a);;;
73;;Bomb shelter = abrigo de bomba;Carving  = esculpir / talha / gravura / escultura;Dropout = cair fora / (substantivo = estudante que largou os estudos );;;;Harsh = severo(a) / áspero / rigoroso;;;;;;;;Pull = puxar;;Rearrange = reorganizar / rearranjar;Slopes = encostas;Take a bow = curve-se;;;Write off = eliminar / reduzir / descartar;;;
74;;Brief = breve / sumário / curto ;Clipper = tosquiadeira / cortador;Double-track = via dupla;;;;Healthiest = mais saudável;;;;;;;;Push = empurrar;;Ranged = variado(a);Source = fonte;Take down = derrubar;;;Wholesome = saudável;;;
75;;Bustling = movimentado(a) / agitado / barulhento ;Cautious = cauteloso(a);Deploys = implanta;;;;Hurtful = doloroso(a);;;;;;;;Postpone = adiar;;Range = alcance;Spoil = estragar;Transfer voucher = comprovante de transferência;;;Worshippers = adoradores(as);;;
76;;Big bands of colors = grandes faixas de cores;Chaperone = acompanhante / a dama de companhia;Diverted = desviado(a);;;;Harness = aproveitar;;;;;;;;Placement test = teste de nivelamento;;Reconnaissance = reconhecimento / verificação / exploração;Sleeve = manga(camisa);Torn down = demolido;;;Within = dentro de;;;
77;;Begone = ir embora;Compelling = convincente;Debris = destroços / detritos / restos;;;;Harassed = assediado(a);;;;;;;;;;Razorblade = lâmina de barbear / gilete;Shallow = raso(a) / superficial;Tiles = azulejos / telha;;;Wider = mais largo;;;
78;;Bickering = brigar / questionar / murmurar;Chilling = arrepiante;Diversion = desvio / diversão / distração;;;;Henceforth = daqui em diante;;;;;;;;;;Ruthless = impiedoso(a);Superficial = superficial;Trendy = na moda / última moda;;;Wacky = maluco(a) / excêntrico;;;
79;;Brewery = cervejaria;Cherished = acarinhado;Deterrent = dissuasão / o meio de intimidação / dificuldade;;;;Hassle = problema;;;;;;;;;;Rag = trapo / farrapo / lenço;Storey = andar;Tingly = dormentes;;;Wig = peruca;;;
80;;Bake = assar / cozer no forno / queimar;Clutches = garras;Donning = vestindo;;;;;;;;;;;;;;Ridges = cumes;Soak = absorver / encharcar;Tributaries = afluentes;;;Wettest = mais úmido;;;
81;;Bind = ligar / vincular / prender / amarrar;Complained = reclamou;Dizzy = tonto(a) / atordoado;;;;;;;;;;;;;;Renewable = renovável;Scramble = passeio / subida / atropelo;Toll = pedágio;;;Weighted boulder = pedregulho pesado;;;
82;;Bonfire = fogueira;Capped = tampado(a);Depiction = representação;;;;;;;;;;;;;;Rash = irritação na pele / erupção cutânea / assadura;Sigh = suspirar;Topped = coberto(a);;;Waists = cinturas;;;
83;;Busy highway = estrada movimentada;Copper = cobre;Drip = gotejamento;;;;;;;;;;;;;;Ruckus = tumulto;Spit = cuspir;Towed = rebocado(a);;;Waist-high = na altura da cintura;;;
84;;Back door = porta dos fundos;Can = posso / lata / recipiente / vasilha;Dubbed = apelidado(a);;;;;;;;;;;;;;Rekindles = reacende;Stumble = tropeçar;;;;Whosever = quem quer que seja;;;
85;;Breeders = criadores;Comb = pente;Disposal = disposição;;;;;;;;;;;;;;Reinsurance = resseguro;Swallow = engolir;;;;Walkout = ir embora;;;
86;;Broad daylight = em plena luz do dia;Constrict = comprimir / apertar / contrair;Duped = enganado(a);;;;;;;;;;;;;;Run = gerenciar / realizar / correr;Schedule = agendar / programar / planejar / escalar / cronograma;;;;Wary = cauteloso(a);;;
87;;Bogged down = atolado;Crunchy = crocante;Dissent = dissidência / divergência;;;;;;;;;;;;;;Rubble = destroços / pedregulho;Sobbing = soluçando;;;;Weightlifter = levantador de peso;;;
88;;Badly = seriamente;Costly = dispendioso(a);Displaced = deslocado(a);;;;;;;;;;;;;;Rush = correr / apressar / invadir;Skulking = escondido(a);;;;Watchful = vigilante;;;
89;;Bringer = portador(a);Coincidentally = coincidentemente;Deemed = considerado(a);;;;;;;;;;;;;;Riverbed = leito do rio / fluvial;Sweaty = suado;;;;;;;
90;;Blunt = cego / brusco;Curtain = cortina;Depths = profundidades;;;;;;;;;;;;;;Resume / curriculum = currículo;Seedlings = mudas;;;;;;;
91;;Bolt = parafuso;Casualties = baixas;Deity = divindade;;;;;;;;;;;;;;Riverside = beira do rio / margem do rio / ribeira;Spooky = assustador(a);;;;;;;
92;;Bash = festança;Coastline = litoral;Dognapper = ladrão de cães;;;;;;;;;;;;;;Retail = retalho / varejo;slaughtered = abatido(a) / slaughterer = abatedor(ra);;;;;;;
93;;Bore = calibre / diâmetro;Caterwaul = lagarta / miado ;;;;;;;;;;;;;;;Renowned = renomado(a);Stew = ensopado(a);;;;;;;
94;;Ballooned = inflado(a);Cipher = cifra / criptograma;;;;;;;;;;;;;;;Reliable = confiável;Shortage = falta;;;;;;;
95;;Breathtaking = tirar o fôlego / empolgante;Conceit = presunção / vaidade;;;;;;;;;;;;;;;Ripped out = arrancado;Sworn in empossado(a);;;;;;;
96;;Basin = bacia / recipiente;County = município / condado;;;;;;;;;;;;;;;Rhombus = Losango;Skeptic = cético;;;;;;;
97;;Bidder = licitante;Chimp = chimpanzé;;;;;;;;;;;;;;;Rioters = manifestantes;Slang = gíria;;;;;;;
98;;Bystanders = Espectadores(as);Coverage = cobertura;;;;;;;;;;;;;;;;Slung = pendurado(a);;;;;;;
99;;Breadth = largura;Contagion = contágio;;;;;;;;;;;;;;;;Sidewalk = calçada;;;;;;;
100;;Bedlam = tumulto;Ceiling = teto;;;;;;;;;;;;;;;;Shuttle = transporte;;;;;;;
101;;;Comforter = edredom;;;;;;;;;;;;;;;;Stood up = levantou;;;;;;;
102;;;Calves = bezerros(as);;;;;;;;;;;;;;;;Scalp = couro cabeludo;;;;;;;
103;;;Clothing = confecções / vestuário / roupa;;;;;;;;;;;;;;;;Snout = focinho;;;;;;;
104;;;Cross-border bridge = ponte transfronteiriço;;;;;;;;;;;;;;;;Squeals = gritos;;;;;;;
105;;;Cluster = conjunto;;;;;;;;;;;;;;;;Sin =pecado;;;;;;;
106;;;Crammed = abarrotado(a);;;;;;;;;;;;;;;;Strongholds = fortaleza;;;;;;;
107;;;Curating = curadoria;;;;;;;;;;;;;;;;Shareholder = acionista;;;;;;;
108;;;Catch up on = colocar em dia;;;;;;;;;;;;;;;;Split = dividir;;;;;;;
109;;;Crates = caixotes;;;;;;;;;;;;;;;;Sticking = colando;;;;;;;
110;;;Commonwealth = comunidade;;;;;;;;;;;;;;;;Stroke = acidente vascular cerebral / o golpe/ a apoplexia / a pancanda;;;;;;;
111;;;;;;;;;;;;;;;;;;;Squeezes = aperta ;;;;;;;
112;;;;;;;;;;;;;;;;;;;Stricter = mais rigoroso;;;;;;;
113;;;;;;;;;;;;;;;;;;;Sever = cortar / romper / separar;;;;;;;
114;;;;;;;;;;;;;;;;;;;Sideways = lateralmente / de lado;;;;;;;
115;;;;;;;;;;;;;;;;;;;Sledgehammers = marretas;;;;;;;
116;;;;;;;;;;;;;;;;;;;Suitor = pretendente;;;;;;;
117;;;;;;;;;;;;;;;;;;;Seafood = frutos do mar;;;;;;;
118;;;;;;;;;;;;;;;;;;;Semiannual / biannual = semestral;;;;;;;
119;;;;;;;;;;;;;;;;;;;Strikingly = surpreendentemente;;;;;;;
120;;;;;;;;;;;;;;;;;;;Squeaking = rangendo;;;;;;;
121;;;;;;;;;;;;;;;;;;;Scum = escumalha / espuma / escória;;;;;;;
122;;;;;;;;;;;;;;;;;;;Strove = esforçou-se;;;;;;;
123;;;;;;;;;;;;;;;;;;;Slither = deslizar;;;;;;;
124;;;;;;;;;;;;;;;;;;;Sobering = sóbrio(a);;;;;;;
125;;;;;;;;;;;;;;;;;;;Spearmint = hortelã;;;;;;;
126;;;;;;;;;;;;;;;;;;;Snogging = beijando;;;;;;;
127;;;;;;;;;;;;;;;;;;;Sniffling = fungando;;;;;;;
128;;;;;;;;;;;;;;;;;;;Smuggles = contrabandeado;;;;;;;
129;;;;;;;;;;;;;;;;;;;Stance = posição / postura;;;;;;;
130;;;;;;;;;;;;;;;;;;;Scatter = espalhar / dispersar / disseminar;;;;;;;
131;;;;;;;;;;;;;;;;;;;Stretches  = alongar / se estende;;;;;;;
132;;;;;;;;;;;;;;;;;;;Surroundings = arredores / ambiente ;;;;;;;
133;;;;;;;;;;;;;;;;;;;Scenic = cênico(a) / pitoresco / teatral;;;;;;;
134;;;;;;;;;;;;;;;;;;;Summit = cume / cúpula;;;;;;;
135;;;;;;;;;;;;;;;;;;;Suppers = ceia / jantar;;;;;;;
136;;;;;;;;;;;;;;;;;;;Softly = suavemente;;;;;;;
137;;;;;;;;;;;;;;;;;;;Stammers = gagueja;;;;;;;
138;;;;;;;;;;;;;;;;;;;Snitch = dedo duro;;;;;;;
139;;;;;;;;;;;;;;;;;;;Speaking of which = falando nisso;;;;;;;
140;;;;;;;;;;;;;;;;;;;Shovel = pá;;;;;;;
141;;;;;;;;;;;;;;;;;;;Slaughterer = abatedor(a);;;;;;;
142;;;;;;;;;;;;;;;;;;;Staple food = alimento básico;;;;;;;
143;;;;;;;;;;;;;;;;;;;Stubborn = teimoso(a) / obstinado;;;;;;;
144;;;;;;;;;;;;;;;;;;;Slandered = caluniado(a);;;;;;;
145;;;;;;;;;;;;;;;;;;;Sewed = costurou;;;;;;;
146;;;;;;;;;;;;;;;;;;;Seasoning = tempero;;;;;;;
147;;;;;;;;;;;;;;;;;;;Spicy = apimentado / picante;;;;;;;
148;;;;;;;;;;;;;;;;;;;Seemingly = aparentemente;;;;;;;
149;;;;;;;;;;;;;;;;;;;Setting  = contexto;;;;;;;
150;;;;;;;;;;;;;;;;;;;Skyward bound = rumo ao céu;;;;;;;
151;;;;;;;;;;;;;;;;;;;Speaker = caixa de som / alto-falante / orador / palestrante;;;;;;;
152;;;;;;;;;;;;;;;;;;;Stretch = esticar;;;;;;;
153;;;;;;;;;;;;;;;;;;;Stumbled = tropeçou;;;;;;;
154;;;;;;;;;;;;;;;;;;;Stacks = empilha;;;;;;;
155;;;;;;;;;;;;;;;;;;;Steadfast = firme / constante / inabalável / estável;;;;;;;
156;;;;;;;;;;;;;;;;;;;Slate = lousa / quadro-negro / ardósia;;;;;;;
157;;;;;;;;;;;;;;;;;;;Slippery = escorregadio(a);;;;;;;
158;;;;;;;;;;;;;;;;;;;Shrewd = astuto(a) / sagaz / perspicaz;;;;;;;
159;;;;;;;;;;;;;;;;;;;Steam = vapor;;;;;;;
160;;;;;;;;;;;;;;;;;;;Subtle = sútil;;;;;;;
161;;;;;;;;;;;;;;;;;;;Scabbards = bainhas;;;;;;;
162;;;;;;;;;;;;;;;;;;;Shaves his head = raspa a cabeça;;;;;;;
163;;;;;;;;;;;;;;;;;;;Stencilling = estêncil;;;;;;;
164;;;;;;;;;;;;;;;;;;;Scorching = abrasador(a) / ardente;;;;;;;
165;;;;;;;;;;;;;;;;;;;Swift = veloz;;;;;;;
166;;;;;;;;;;;;;;;;;;;Scalpel = bisturi;;;;;;;
167;;;;;;;;;;;;;;;;;;;Stocks = ações ;;;;;;;
168;;;;;;;;;;;;;;;;;;;Spiked = cravado(a);;;;;;;
169;;;;;;;;;;;;;;;;;;;Shipser = Navio;;;;;;;
170;;;;;;;;;;;;;;;;;;;Sweltering = sufocante / abafa / sufoca de calor;;;;;;;
171;;;;;;;;;;;;;;;;;;;Starving = morrendo de fome;;;;;;;
172;;;;;;;;;;;;;;;;;;;Stingy = mesquinho;;;;;;;
173;;;;;;;;;;;;;;;;;;;Spotless = impecável / limpo;;;;;;;
174;;;;;;;;;;;;;;;;;;;Sorrowful = triste / doloroso / cheio de pena;;;;;;;
175;;;;;;;;;;;;;;;;;;;Serene = serena / calmo / sossegado;;;;;;;
176;;;;;;;;;;;;;;;;;;;Slovenly = sujo / mal vestido / desleixado;;;;;;;
177;;;;;;;;;;;;;;;;;;;Soaked = ensopado;;;;;;;
178;;;;;;;;;;;;;;;;;;;Sluggish = lerdo / lento;;;;;;;
179;;;;;;;;;;;;;;;;;;;Swamped = inundados;;;;;;;
180;;;;;;;;;;;;;;;;;;;Surrounding = em torno da / ambiente;;;;;;;
181;;;;;;;;;;;;;;;;;;;Swathes = faixas / trigos;;;;;;;
182;;;;;;;;;;;;;;;;;;;Sightings = avistamentos;;;;;;;
183;;;;;;;;;;;;;;;;;;;Sewing = de costura / para costurar;;;;;;;
184;;;;;;;;;;;;;;;;;;;Scoreboard = placar;;;;;;;
185;;;;;;;;;;;;;;;;;;;Suing = processando;;;;;;;
186;;;;;;;;;;;;;;;;;;;Silly = bobo(a);;;;;;;
187;;;;;;;;;;;;;;;;;;;Scales = balança / escamas;;;;;;;
188;;;;;;;;;;;;;;;;;;;Smallpox = varíola;;;;;;;
189;;;;;;;;;;;;;;;;;;;Spurred = estimulado(a);;;;;;;
190;;;;;;;;;;;;;;;;;;;Shaft = haste;;;;;;;
191;;;;;;;;;;;;;;;;;;;Secuity issue = questão de segurança;;;;;;;
192;;;;;;;;;;;;;;;;;;;Sprained = torcido(a);;;;;;;
193;;;;;;;;;;;;;;;;;;;Steaming = vapor;;;;;;;
194;;;;;;;;;;;;;;;;;;;Spitting = cuspir;;;;;;;
195;;;;;;;;;;;;;;;;;;;Surfaced = à tona;;;;;;;
196;;;;;;;;;;;;;;;;;;;Sauce = molho;;;;;;;
197;;;;;;;;;;;;;;;;;;;Spout / tap = bica;;;;;;;
198;;;;;;;;;;;;;;;;;;;Sow = semear;;;;;;;
199;;;;;;;;;;;;;;;;;;;Smeared = manchado(a);;;;;;;
200;;;;;;;;;;;;;;;;;;;Snapshot = instantâneo(a);;;;;;;
201;;;;;;;;;;;;;;;;;;;Shrinking = encolhendo;;;;;;;
202;;;;;;;;;;;;;;;;;;;Shedding = derramamento;;;;;;;
203;;;;;;;;;;;;;;;;;;;Shipping = envio / expedição / remessa;;;;;;;
204;;;;;;;;;;;;;;;;;;;Skill-set = conjunto de habilidades;;;;;;;
205;;;;;;;;;;;;;;;;;;;Scope = alcance / escopo;;;;;;;
206;;;;;;;;;;;;;;;;;;;Shot up = disparou;;;;;;;
207;;;;;;;;;;;;;;;;;;;Skilled = especializado(a) / hábil / perito;;;;;;;
208;;;;;;;;;;;;;;;;;;;Sought = procurado(a) / solicitado;;;;;;;
209;;;;;;;;;;;;;;;;;;;Stocking up = estocando;;;;;;;
210;;;;;;;;;;;;;;;;;;;Snorkels = tubo respiratório para mergulho;;;;;;;
211;;;;;;;;;;;;;;;;;;;Stick = grudar / vara / pau;;;;;;;
212;;;;;;;;;;;;;;;;;;;Smugglers = contrabandistas;;;;;;;
213;;;;;;;;;;;;;;;;;;;Shore = costa / praia / margem;;;;;;;
214;;;;;;;;;;;;;;;;;;;Sheet / bed sheet = lençol;;;;;;;
215;;;;;;;;;;;;;;;;;;;Supply chain = cadeia de mantimentos / suprimento;;;;;;;
216;;;;;;;;;;;;;;;;;;;Squats / Squatting  = agachamentos;;;;;;;
217;;;;;;;;;;;;;;;;;;;Swell = inchar;;;;;;;
218;;;;;;;;;;;;;;;;;;;Skinny jeans = calça justa;;;;;;;
219;;;;;;;;;;;;;;;;;;;Swelling = inchaço;;;;;;;
220;;;;;;;;;;;;;;;;;;;Slim = afinar;;;;;;;
221;;;;;;;;;;;;;;;;;;;Swan = nadou;;;;;;;
222;;;;;;;;;;;;;;;;;;;Swum = nadado(a);;;;;;;
223;;;;;;;;;;;;;;;;;;;Surrounded = cercado;;;;;;;
224;;;;;;;;;;;;;;;;;;;Spokesman / spokeswoman / spokesperson = porta-voz;;;;;;;
225;;;;;;;;;;;;;;;;;;;Strike = ataque / greve;;;;;;;
226;;;;;;;;;;;;;;;;;;;Sachets = sachês;;;;;;;
227;;;;;;;;;;;;;;;;;;;Smuggle = contrabandear;;;;;;;
228;;;;;;;;;;;;;;;;;;;Strive = esforço;;;;;;;
229;;;;;;;;;;;;;;;;;;;Secedes = separa;;;;;;;
230;;;;;;;;;;;;;;;;;;;Stormed = invadiram;;;;;;;
